Concept	Preferred Term	Id
Psychotic disorder with delusions caused by stimulant (disorder)	Psychotic disorder with delusions caused by stimulant	762327001
Psychotic disorder with hallucinations caused by stimulant (disorder)	Psychotic disorder with hallucinations caused by stimulant	762326005
Psychotic disorder caused by stimulant (disorder)	Psychotic disorder caused by stimulant	762325009
Delirium caused by stimulant (disorder)	Delirium caused by stimulant	762324008
Mood disorder with mixed depressive and manic symptoms caused by opioid (disorder)	Mood disorder with mixed depressive and manic symptoms caused by opioid	762322007
Mood disorder with depressive symptoms caused by opioid (disorder)	Mood disorder with depressive symptoms caused by opioid	762321000
Mood disorder with manic symptoms caused by opioid (disorder)	Mood disorder with manic symptoms caused by opioid	762320004
Anxiety disorder caused by synthetic cannabinoid (disorder)	Anxiety disorder caused by synthetic cannabinoid	737341006
Psychotic disorder caused by synthetic cannabinoid (disorder)	Psychotic disorder caused by synthetic cannabinoid	737340007
Delirium caused by synthetic cannabinoid (disorder)	Delirium caused by synthetic cannabinoid	737339005
Secondary psychotic syndrome with hallucinations and delusions (disorder)	Secondary psychotic syndrome with hallucinations and delusions	737225007
Dissociative neurological symptom disorder co-occurrent with symptom of speech production (disorder)	Dissociative neurological symptom disorder co-occurrent with symptom of speech production	736316005
Dissociative neurological symptom disorder co-occurrent with alteration of consciousness (disorder)	Dissociative neurological symptom disorder co-occurrent with alteration of consciousness	736315009
Dissociative neurological symptom disorder co-occurrent with cognitive symptoms (disorder)	Dissociative neurological symptom disorder co-occurrent with cognitive symptoms	736314008
Dissociative neurological symptom disorder co-occurrent with symptoms of gait disorder (disorder)	Dissociative neurological symptom disorder co-occurrent with symptoms of gait disorder	736313002
Exertional heat stroke (disorder)	Exertional heat stroke	735907005
Psychotic disorder with schizophreniform symptoms caused by cocaine (disorder)	Psychotic disorder with schizophreniform symptoms caused by cocaine	735750005
Lifelong situational anorgasmia (disorder)	Lifelong situational anorgasmia	735628004
Lifelong generalized anorgasmia (disorder)	Lifelong generalized anorgasmia	735627009
Acquired situational anorgasmia (disorder)	Acquired situational anorgasmia	735626000
Acquired generalized anorgasmia (disorder)	Acquired generalised anorgasmia	735625001
Gaming disorder predominantly offline (disorder)	Gaming disorder predominantly offline	735553005
Gaming disorder predominantly online (disorder)	Gaming disorder predominantly online	735552000
Gaming disorder (disorder)	Gaming disorder	735551007
Gambling disorder predominantly online (disorder)	Gambling disorder predominantly online	735550008
Gambling disorder predominantly offline (disorder)	Gambling disorder predominantly offline	735549008
Dissociative neurological symptom disorder co-occurrent with dizziness (disorder)	Dissociative neurological symptom disorder co-occurrent with dizziness	735548000
Dissociative neurological symptom disorder co-occurrent with auditory symptom (disorder)	Dissociative neurological symptom disorder co-occurrent with auditory symptom	735547005
Dissociative neurological symptom disorder co-occurrent with swallowing symptom (disorder)	Dissociative neurological symptom disorder co-occurrent with swallowing symptom	735546001
Dissociative neurological symptom disorder with visual symptom (disorder)	Dissociative neurological symptom disorder with visual symptom	735545002
Dissociative neurological disorder with symptom of movement disorder (disorder)	Dissociative neurological disorder with symptom of movement disorder	735544003
Dissociative neurological disorder with symptom of alteration of sensation (disorder)	Dissociative neurological disorder with symptom of alteration of sensation	735543009
Dissociative neurological disorder with symptom of weakness (disorder)	Dissociative neurological disorder with symptom of weakness	735542004
Dissociative neurological symptom disorder (disorder)	Functional neurological disorder	735541006
Autism spectrum disorder, epilepsy, arthrogryposis syndrome (disorder)	Autism spectrum disorder, epilepsy, arthrogryposis syndrome	733623005
Dementia co-occurrent and due to Down syndrome (disorder)	Dementia with Down syndrome	733194007
Dementia co-occurrent and due to progressive multifocal leukoencephalopathy (disorder)	Dementia with progressive multifocal leucoencephalopathy	733193001
Dementia due to herpes encephalitis (disorder)	Dementia due to herpes encephalitis	733192006
Dementia due to chronic subdural hematoma (disorder)	Dementia due to chronic subdural hematoma	733191004
Dementia due to primary malignant neoplasm of brain (disorder)	Dementia due to primary malignant neoplasm of brain	733190003
Dementia following injury caused by exposure to ionizing radiation (disorder)	Dementia following injury caused by exposure to ionizing radiation	733185001
Dementia caused by heavy metal exposure (disorder)	Dementia caused by heavy metal exposure	733184002
Major depression with psychotic features (disorder)	Major depression with psychotic features	726772006
Delirium co-occurrent with dementia (disorder)	Delirium co-occurrent with dementia	725898002
Epilepsy co-occurrent and due to dementia (disorder)	Epilepsy co-occurrent and due to dementia	724992007
Functional paraparesis (disorder)	Functional paraparesis	724819000
Functional monoparesis (disorder)	Functional monoparesis	724818008
Dementia due to infectious disease (disorder)	Dementia due to infectious disease	724777003
Dementia due to disorder of central nervous system (disorder)	Dementia due to disorder of central nervous system	724776007
Cognitive impairment co-occurrent and due to primary psychotic disorder (disorder)	Cognitive impairment co-occurrent and due to primary psychotic disorder	724760003
Psychomotor symptom co-occurrent and due to psychotic disorder (disorder)	Psychomotor symptom co-occurrent and due to psychotic disorder	724759008
Manic symptoms co-occurrent and due to primary psychotic disorder (disorder)	Manic symptoms co-occurrent and due to primary psychotic disorder	724758000
Depressive symptoms due to primary psychotic disorder (disorder)	Depressive symptoms due to primary psychotic disorder	724757005
Negative symptoms co-occurrent and due to primary psychotic disorder (disorder)	Negative symptoms co-occurrent and due to primary psychotic disorder	724756001
Positive symptoms co-occurrent and due to primary psychotic disorder (disorder)	Positive symptoms co-occurrent and due to primary psychotic disorder	724755002
Amnestic disorder due to multiple etiological factors (disorder)	Amnestic disorder due to multiple aetiological factors	724747009
Delirium due to multiple etiological factors (disorder)	Delirium due to multiple aetiological factors	724746000
Paraphilia involving solitary behavior or consenting individuals (disorder)	Paraphilia involving solitary behaviour or consenting individuals	724745001
Paraphilia involving non-consenting individual (disorder)	Paraphilia involving non-consenting individual	724744002
Coercive sexual sadism (disorder)	Coercive sexual sadism	724743008
Adolescent onset conduct-dissocial disorder with normal prosocial emotions (disorder)	Adolescent onset conduct-dissocial disorder with normal prosocial emotions	724742003
Adolescent onset conduct-dissocial disorder with limited prosocial emotions (disorder)	Adolescent onset conduct-dissocial disorder with limited prosocial emotions	724741005
Adolescent onset conduct-dissocial disorder (disorder)	Adolescent onset conduct-dissocial disorder	724740006
Childhood onset conduct-dissocial disorder with normal prosocial emotions (disorder)	Childhood onset conduct-dissocial disorder with normal prosocial emotions	724739009
Childhood onset conduct-dissocial disorder with limited prosocial emotions (disorder)	Childhood onset conduct-dissocial disorder with limited prosocial emotions	724738001
Oppositional defiant disorder without chronic irritability-anger with normal prosocial emotions (disorder)	Oppositional defiant disorder without chronic irritability-anger with normal prosocial emotions	724737006
Oppositional defiant disorder without chronic irritability-anger with limited prosocial emotions (disorder)	Oppositional defiant disorder without chronic irritability-anger with limited prosocial emotions	724736002
Oppositional defiant disorder without chronic irritability-anger (disorder)	Oppositional defiant disorder without chronic irritability-anger	724735003
Oppositional defiant disorder co-occurrent with chronic irritability-anger with normal prosocial emotions (disorder)	Oppositional defiant disorder co-occurrent with chronic irritability-anger with normal prosocial emotions	724734004
Oppositional defiant disorder co-occurrent with chronic irritability-anger (disorder)	Oppositional defiant disorder co-occurrent with chronic irritability-anger	724733005
Obsessive compulsive disorder caused by psychoactive substance (disorder)	Obsessive compulsive disorder caused by psychoactive substance	724730008
Psychotic disorder caused by psychoactive substance (disorder)	Psychotic disorder caused by psychoactive substance	724729003
Anxiety disorder caused by ketamine (disorder)	Anxiety disorder caused by ketamine	724723002
Anxiety disorder caused by dissociative drug (disorder)	Anxiety disorder caused by dissociative drug	724722007
Mood disorder caused by ketamine (disorder)	Mood disorder caused by ketamine	724721000
Mood disorder caused by dissociative drug (disorder)	Mood disorder caused by dissociative drug	724720004
Psychotic disorder caused by ketamine (disorder)	Psychotic disorder caused by ketamine	724719005
Psychotic disorder caused by dissociative drug (disorder)	Psychotic disorder caused by dissociative drug	724718002
Delirium caused by dissociative drug (disorder)	Delirium caused by dissociative drug	724717007
Delirium caused by ketamine (disorder)	Delirium caused by ketamine	724716003
Anxiety disorder caused by methylenedioxymethamphetamine (disorder)	Anxiety disorder caused by methylenedioxymethamphetamine	724708007
Mood disorder caused by methylenedioxymethamphetamine (disorder)	Mood disorder caused by methylenedioxymethamphetamine	724707002
Psychotic disorder caused by methylenedioxymethamphetamine (disorder)	Psychotic disorder caused by methylenedioxymethamphetamine	724706006
Delirium caused by methylenedioxymethamphetamine (disorder)	Delirium caused by methylenedioxymethamphetamine	724705005
Psychotic disorder caused by volatile inhalant (disorder)	Psychotic disorder caused by volatile inhalant	724702008
Psychotic disorder caused by hallucinogen (disorder)	Psychotic disorder caused by hallucinogen	724696008
Obsessive compulsive disorder caused by cocaine (disorder)	Obsessive compulsive disorder caused by cocaine	724693000
Mood disorder with mixed depressive and manic symptoms caused by cocaine (disorder)	Mood disorder with mixed depressive and manic symptoms caused by cocaine	724692005
Mood disorder with manic symptoms caused by cocaine (disorder)	Mood disorder with manic symptoms caused by cocaine	724691003
Mood disorder with depressive symptoms caused by cocaine (disorder)	Mood disorder with depressive symptoms caused by cocaine	724690002
Psychotic disorder caused by cocaine (disorder)	Psychotic disorder caused by cocaine	724689006
Amnestic disorder caused by anxiolytic (disorder)	Amnestic disorder caused by anxiolytic	724687008
Amnestic disorder caused by hypnotic (disorder)	Amnestic disorder caused by hypnotic	724686004
Amnestic disorder caused by sedative (disorder)	Amnestic disorder caused by sedative	724685000
Mood disorder with mixed depressive and manic symptoms caused by anxiolytic (disorder)	Mood disorder with mixed depressive and manic symptoms caused by anxiolytic	724684001
Mood disorder with mixed depressive and manic symptoms caused by hypnotic (disorder)	Mood disorder with mixed depressive and manic symptoms caused by hypnotic	724683007
Mood disorder with mixed depressive and manic symptoms caused by sedative (disorder)	Mood disorder with mixed depressive and manic symptoms caused by sedative	724682002
Mood disorder with manic symptoms caused by anxiolytic (disorder)	Mood disorder with manic symptoms caused by anxiolytic	724681009
Mood disorder with manic symptoms caused by hypnotic (disorder)	Mood disorder with manic symptoms caused by hypnotic	724680005
Mood disorder with manic symptoms caused by sedative (disorder)	Mood disorder with manic symptoms caused by sedative	724679007
Mood disorder with depressive symptoms caused by anxiolytic (disorder)	Mood disorder with depressive symptoms caused by anxiolytic	724678004
Mood disorder with depressive symptoms caused by hypnotic (disorder)	Mood disorder with depressive symptoms caused by hypnotic	724677009
Mood disorder with depressive symptoms caused by sedative (disorder)	Mood disorder with depressive symptoms caused by sedative	724676000
Psychotic disorder caused by anxiolytic (disorder)	Psychotic disorder caused by anxiolytic	724675001
Psychotic disorder caused by hypnotic (disorder)	Psychotic disorder caused by hypnotic	724674002
Psychotic disorder caused by sedative (disorder)	Psychotic disorder caused by sedative	724673008
Psychotic disorder caused by opioid (disorder)	Psychotic disorder caused by opioid	724655005
Anxiety disorder caused by opioid (disorder)	Anxiety disorder caused by opioid	724654009
Stereotypic movement disorder without self-injurious behavior (disorder)	Stereotypic movement disorder without self-injurious behaviour	724652008
Intellectual developmental disorder due to nutritional deficiency (disorder)	Intellectual developmental disorder due to nutritional deficiency	724564005
Tic due to and following infection (disorder)	Tic due to and following infection	724545004
Infection causing tic (disorder)	Infection causing tic	724544000
Sleep disorder caused by cannabis (disorder)	Sleep disorder caused by cannabis	723937009
Psychotic disorder caused by cannabis (disorder)	Psychotic disorder caused by cannabis	723936000
Psychotic disorder caused by alcohol with schizophreniform symptoms (disorder)	Psychotic disorder caused by alcohol with schizophreniform symptoms	723927004
Significantly low body weight co-occurrent and due to anorexia nervosa of binge-eating purging type (disorder)	Significantly low body weight co-occurrent and due to anorexia nervosa of binge-eating purging type	723920002
Significantly low body weight co-occurrent and due to anorexia nervosa of restricting type (disorder)	Significantly low body weight co-occurrent and due to anorexia nervosa of restricting type	723919008
Dangerously low body weight co-occurrent and due to anorexia nervosa of binge-eating purging type (disorder)	Dangerously low body weight co-occurrent and due to anorexia nervosa of binge-eating purging type	723918000
Dangerously low body weight co-occurrent and due to anorexia nervosa of restricting type (disorder)	Dangerously low body weight co-occurrent and due to anorexia nervosa of restricting type	723917005
Bodily distress disorder (disorder)	Bodily distress disorder	723916001
Secondary dissociative disorder (disorder)	Secondary dissociative disorder	723915002
Olfactory reference disorder (disorder)	Olfactory reference disorder	723913009
Secondary mood disorder (disorder)	Secondary mood disorder	723912004
Bipolar type II disorder currently in full remission (disorder)	Bipolar type II disorder currently in full remission	723905008
Bipolar type I disorder currently in full remission (disorder)	Bipolar type I disorder currently in full remission	723903001
Delusional disorder currently in full remission (disorder)	Delusional disorder currently in full remission	723901004
Delusional disorder currently in partial remission (disorder)	Delusional disorder currently in partial remission	723900003
Delusional disorder currently symptomatic (disorder)	Delusional disorder currently symptomatic	723899008
Rapidly progressive dementia (disorder)	Rapidly progressive dementia	723390000
Isodicentric chromosome 15 syndrome (disorder)	Isodicentric chromosome 15 syndrome	723332005
Ischemic vascular dementia (disorder)	Ischaemic vascular dementia	723123001
Primary tic disorder (disorder)	Primary tic disorder	723122006
Dementia due to chromosomal anomaly (disorder)	Dementia due to chromosomal anomaly	722980006
Dementia due to metabolic abnormality (disorder)	Dementia due to metabolic abnormality	722979008
Dementia caused by toxin (disorder)	Dementia caused by toxin	722978000
Dementia co-occurrent and due to neurocysticercosis (disorder)	Dementia co-occurrent and due to neurocysticercosis	722977005
Secondary stereotypy (disorder)	Secondary stereotypy	722976001
Primary stereotypy (disorder)	Primary stereotypy	722975002
Tic due to developmental disorder (disorder)	Tic due to developmental disorder	722973009
Secondary tic disorder (disorder)	Secondary tic disorder	722972004
Anorexia nervosa co-occurrent with significantly low body weight (disorder)	Anorexia nervosa co-occurrent with significantly low body weight	722960005
Anorexia nervosa co-occurrent with dangerously low body weight (disorder)	Anorexia nervosa co-occurrent with dangerously low body weight	722959000
Adult rumination syndrome of ingested food (disorder)	Adult rumination syndrome of ingested food	722877006
Non-amnestic Alzheimer disease (disorder)	Non-amnestic Alzheimer disease	722600006
Autism and facial port-wine stain syndrome (disorder)	Autism and facial port-wine stain syndrome	722287002
Minimal major depression (disorder)	Minimal major depression	720455008
Minimal major depression single episode (disorder)	Minimal major depression single episode	720454007
Moderately severe major depression single episode (disorder)	Moderately severe major depression single episode	720453001
Moderately severe recurrent major depression (disorder)	Moderately severe recurrent major depression	720452006
Minimal recurrent major depression (disorder)	Minimal recurrent major depression	720451004
Psychosis co-occurrent and due to Parkinson's disease (disorder)	Psychosis co-occurrent and due to Parkinson's disease	719717006
1p21.3 microdeletion syndrome (disorder)	1p21.3 microdeletion syndrome	719600006
Moderately severe depression (disorder)	Moderately severe depression	719593009
Moderately severe major depression (disorder)	Moderately severe major depression	719592004
X-linked intellectual disability and hypotonia with facial dysmorphism and aggressive behavior syndrome (disorder)	X-linked intellectual disability and hypotonia with facial dysmorphism and aggressive behavior syndrome	719157002
Minimal depression (disorder)	Minimal depression	718636001
Atypical Rett syndrome (disorder)	Atypical Rett syndrome	718393002
X-linked epilepsy with learning disability and behavior disorder syndrome (disorder)	X-linked epilepsy with learning disability and behavior disorder syndrome	717223008
Disruptive mood dysregulation disorder (disorder)	Disruptive mood dysregulation disorder	715924009
Parkinsonism co-occurrent with dementia of Guadeloupe (disorder)	Parkinsonism with dementia of Guadeloupe	715737004
Dementia co-occurrent with human immunodeficiency virus infection (disorder)	Dementia co-occurrent with human immunodeficiency virus infection	713844000
Organic brain syndrome co-occurrent with human immunodeficiency virus infection (disorder)	Organic brain syndrome co-occurrent with human immunodeficiency virus infection	713491003
Presenile dementia co-occurrent with human immunodeficiency virus infection (disorder)	Presenile dementia co-occurrent with human immunodeficiency virus infection	713488003
Pathological demand avoidance (disorder)	Pathological demand avoidance	712884004
Acute polymorphic psychotic disorder co-occurrent with symptoms of schizophrenia (disorder)	Acute polymorphic psychotic disorder co-occurrent with symptoms of schizophrenia	712850003
Acute polymorphic psychotic disorder without symptoms of schizophrenia (disorder)	Acute polymorphic psychotic disorder without symptoms of schizophrenia	712824002
Acute depression (disorder)	Acute depression	712823008
Female athlete triad (disorder)	Female athlete triad	710072005
Residual Asperger's disorder (disorder)	Residual Asperger's disorder	708037001
Self-induced vomiting to lose weight (disorder)	Self-induced vomiting to lose weight	705001007
Delirium due to benzodiazepine withdrawal (disorder)	Delirium due to benzodiazepine withdrawal	703850002
Dysexecutive syndrome (disorder)	Dysexecutive syndrome	703041000
Attention deficit hyperactivity disorder, inattentive presentation (restrictive) (disorder)	Attention deficit hyperactivity disorder, inattentive presentation (restrictive)	702815001
High-functioning autism (disorder)	High-functioning autism	702732007
Mental disorder in mother complicating pregnancy (disorder)	Mental disorder in mother complicating pregnancy	702711004
FOXG1 syndrome (disorder)	FOXG1 syndrome	702450004
Avoidant restrictive food intake disorder (disorder)	Avoidant restrictive food intake disorder	700213005
Chronic post-traumatic stress disorder following military combat (disorder)	Chronic post-traumatic stress disorder following military combat	699241002
Delirium in remission (disorder)	Delirium in remission	698958008
Depressive disorder in remission (disorder)	Depressive disorder in remission	698957003
Primary degenerative dementia of the Alzheimer type, presenile onset in remission (disorder)	Primary degenerative dementia of the Alzheimer type, presenile onset in remission	698955006
Primary degenerative dementia of the Alzheimer type, senile onset in remission (disorder)	Primary degenerative dementia of the Alzheimer type, senile onset in remission	698954005
Dissociative disorder in remission (disorder)	Dissociative disorder in remission	698952009
Delusional disorder in remission (disorder)	Delusional disorder in remission	698951002
Dementia in remission (disorder)	Dementia in remission	698949001
Vascular dementia in remission (disorder)	Vascular dementia in remission	698948009
Conduct disorder in remission (disorder)	Conduct disorder in remission	698947004
Cyclothymia in remission (disorder)	Cyclothymia in remission	698946008
Dementia associated with cerebral anoxia (disorder)	Dementia associated with cerebral anoxia	698781002
Dementia associated with viral encephalitis (disorder)	Dementia associated with viral encephalitis	698726009
Dementia associated with neurosyphilis (disorder)	Dementia associated with neurosyphilis	698725008
Adjustment disorder in remission (disorder)	Adjustment disorder in remission	698701000
Borderline personality disorder in remission (disorder)	Borderline personality disorder in remission	698700004
Antisocial personality disorder in remission (disorder)	Antisocial personality disorder in remission	698699000
Bulimia nervosa in remission (disorder)	Bulimia nervosa in remission	698698008
Adjustment disorder with mixed disturbance of emotions and conduct in remission (disorder)	Adjustment disorder with mixed disturbance of emotions and conduct in remission	698697003
Adjustment disorder with depressed mood in remission (disorder)	Adjustment disorder with depressed mood in remission	698696007
Anorexia nervosa in remission (disorder)	Anorexia nervosa in remission	698695006
Adjustment disorder with anxious mood in remission (disorder)	Adjustment disorder with anxious mood in remission	698693004
Attention deficit hyperactivity disorder, predominantly hyperactive impulsive type in remission (disorder)	Attention deficit hyperactivity disorder, predominantly hyperactive impulsive type in remission	698692009
Avoidant personality disorder in remission (disorder)	Avoidant personality disorder in remission	698690001
Attention deficit hyperactivity disorder, predominantly inattentive type in remission (disorder)	Attention deficit hyperactivity disorder, predominantly inattentive type in remission	698689005
Post-traumatic dementia with behavioral change (disorder)	Post-traumatic dementia with behavioural change	698687007
Dementia associated with multiple sclerosis (disorder)	Dementia associated with multiple sclerosis	698626001
Dementia associated with normal pressure hydrocephalus (disorder)	Dementia associated with normal pressure hydrocephalus	698625002
Dementia associated with cerebral lipidosis (disorder)	Dementia associated with cerebral lipidosis	698624003
Obsessional personality disorder (disorder)	Obsessional personality disorder	473457009
Compulsive personality disorder (disorder)	Compulsive personality disorder	473456000
Atypical psychosis (disorder)	Atypical psychosis	473452003
Fetishistic transvestism (disorder)	Fetishistic transvestism	472981000
Severe major depression (disorder)	Severe major depression	450714000
Delayed posttraumatic stress disorder following military combat (disorder)	Delayed posttraumatic stress disorder following military combat	446180007
Acute posttraumatic stress disorder following military combat (disorder)	Acute posttraumatic stress disorder following military combat	446175003
Adult attention deficit hyperactivity disorder (disorder)	Adult attention deficit hyperactivity disorder	444613000
Complex posttraumatic stress disorder (disorder)	Complex posttraumatic stress disorder	443919007
Psychogenic tremor (disorder)	Psychogenic tremor	443853005
Nonverbal learning disorder (disorder)	Nonverbal learning disorder	443735008
Mental disorder caused by drug (disorder)	Mental disorder due to drug	442351006
Dementia due to Huntington chorea (disorder)	Dementia due to Huntington chorea	442344002
Active but odd autism (disorder)	Active but odd autism	442314000
Chronic hypomanic personality disorder (disorder)	Chronic hypomanic personality disorder	442245003
Psychosexual dysfunction associated with inhibited libido (disorder)	Psychosexual dysfunction associated with inhibited libido	442243005
Psychogenic dyskinesia (disorder)	Psychogenic dyskinesia	442183006
Psychogenic fatigue (disorder)	Psychogenic fatigue	442099003
Chronic depressive personality disorder (disorder)	Chronic depressive personality disorder	442057004
Psychogenic disorder of the genitourinary system (disorder)	Psychogenic disorder of the genitourinary system	441972000
Lethal catatonia (disorder)	Lethal catatonia	441833000
Residual childhood psychosis (disorder)	Residual childhood psychosis	441716003
Chronic psychogenic pain (disorder)	Chronic psychogenic pain	441711008
Affective psychosis (disorder)	Affective psychosis	441704009
Binge eating disorder (disorder)	Binge eating disorder	439960005
Savant syndrome (disorder)	Savant syndrome	432091002
Conduct disorder (disorder)	Conduct disorder	430909002
Severe major depression, single episode, with psychotic features (disorder)	Severe major depression, single episode, with psychotic features	430852001
Factitious disorder with predominantly psychological signs and symptoms (disorder)	Factitious disorder with predominantly psychological signs and symptoms	430751001
Factitious disorder with predominantly physical signs and symptoms (disorder)	Factitious disorder with predominantly physical signs and symptoms	430744005
Vascular dementia (disorder)	Vascular dementia	429998004
Mood disorder caused by drug (disorder)	Mood disorder caused by drug	429672007
Sleep-related dissociative disorder (disorder)	Sleep-related dissociative disorder	429571005
Dementia due to Creutzfeldt Jakob disease (disorder)	Dementia due to Creutzfeldt Jakob disease	429458009
Transient organic mental disorder (disorder)	Transient organic mental disorder	428703001
Nightmares associated with chronic post-traumatic stress disorder (disorder)	Nightmares associated with chronic post-traumatic stress disorder	428687006
Delusional disorder caused by drug (disorder)	Drug-induced delusional disorder	427975003
Eating disorder in remission (disorder)	Eating disorder in remission	427469003
Developmental delay in feeding (disorder)	Developmental delay in feeding	426881004
Premenstrual dysphoric disorder in remission (disorder)	Premenstrual dysphoric disorder in remission	426578000
Chronic stress disorder (disorder)	Chronic stress disorder	426174008
Chronic organic mental disorder (disorder)	Chronic organic mental disorder	425919003
Adjustment reaction to medical therapy (disorder)	Adjustment reaction to medical therapy	425914008
Psychophysiologic insomnia (disorder)	Psychophysiologic insomnia	425832009
Psychogenic vocal cord dysfunction (disorder)	Psychogenic vocal cord dysfunction	425743007
Dementia associated with Parkinson's Disease (disorder)	Dementia associated with Parkinson's Disease	425390006
Dementia with acquired immunodeficiency syndrome (disorder)	Dementia with AIDS (acquired immunodeficiency syndrome)	421529006
Presenile dementia with acquired immunodeficiency syndrome (disorder)	Presenile dementia with AIDS (acquired immunodeficiency syndrome)	421023003
Organic brain syndrome with acquired immunodeficiency syndrome (disorder)	Organic brain syndrome with AIDS (acquired immunodeficiency syndrome)	420774007
Organic dementia with acquired immunodeficiency syndrome (disorder)	Organic dementia with AIDS (acquired immunodeficiency syndrome)	420614009
Duplicative flashbacks (disorder)	Duplicative flashbacks	417360004
Factitious keratitis (disorder)	Factitious keratitis	417294004
Short duration flashbacks (disorder)	Short duration flashbacks	417143004
Primary degenerative dementia of the Alzheimer type, senile onset (disorder)	Primary degenerative dementia of the Alzheimer type, senile onset	416975007
Primary degenerative dementia of the Alzheimer type, presenile onset (disorder)	Primary degenerative dementia of the Alzheimer type, presenile onset	416780008
Episodic flashbacks (disorder)	Episodic flashbacks	416714005
Late onset schizophrenia (disorder)	Late onset schizophrenia	416340002
Long duration flashbacks (disorder)	Long duration flashbacks	416073003
Depression requiring intervention (disorder)	Depression requiring intervention	413296003
Infantile psychosis (disorder)	Infantile psychosis	408858002
Infantile autism (disorder)	Infantile autism	408857007
Attention deficit hyperactivity disorder (disorder)	Attention deficit hyperactivity disorder	406506008
Psychogenic loss of appetite (disorder)	Psychogenic loss of appetite	405788002
Postoperative confusion (disorder)	Postoperative confusion	404906000
Pinocchio syndrome (disorder)	Pinocchio syndrome	403595006
Psychogenic formication (disorder)	Psychogenic formication	403594005
Phobic fear of skin cancer (disorder)	Phobic fear of skin cancer	403593004
Cutaneous Munchausen syndrome by proxy (disorder)	Cutaneous Munchausen syndrome by proxy	403590001
Addiction to sunbed use (disorder)	Addiction to sunbed use	403588002
Addiction to sun exposure (disorder)	Addiction to sun exposure	403587007
Cutaneous Munchausen syndrome (disorder)	Cutaneous Munchausen syndrome	403586003
Patch test artifact (disorder)	Patch test artefact	403585004
Contact urticaria artefacta (disorder)	Contact urticaria artefacta	403584000
Deliberate self-cutting (disorder)	Deliberate self-cutting	403583006
Self-inflicted caustic burn (disorder)	Self-inflicted caustic burn	403582001
Pseudostigmata (disorder)	Pseudostigmata	403581008
Religious stigmata (disorder)	Religious stigmata	403580009
Factitious lymphedema (disorder)	Factitious lymphoedema	403579006
Factitious blistering (disorder)	Factitious blistering	403578003
Callosity caused by biting and/or chewing (disorder)	Callosity caused by biting and/or chewing	403170002
Callosity due to habit tic (disorder)	Callosity due to habit tic	403169003
Addictive behavior with potential to damage skin (disorder)	Addictive behaviour with potential to damage skin	402738002
Artefactual skin disease (disorder)	Artefactual skin disease	402737007
Factitious skin disease (disorder)	Factitious skin disease	402736003
Habit tic affecting hair (disorder)	Habit tic affecting hair	402735004
Nail dystrophy due to habit tic (disorder)	Nail dystrophy due to habit tic	402734000
Habit tic affecting skin (disorder)	Habit tic affecting skin	402733006
Habit tic (disorder)	Habit tic	402732001
Somatization disorder (disorder)	Somatisation disorder	397923000
Briquet's syndrome (disorder)	Briquet's syndrome	397826007
Polysomatizing disorder (disorder)	Polysomatizing disorder	397795007
Adjustment reaction of late life (disorder)	Adjustment reaction of late life	386825004
Adjustment reaction of childhood (disorder)	Adjustment reaction of childhood	386824000
Adjustment reaction of adult life (disorder)	Adjustment reaction of adult life	386823006
Adjustment reaction of adolescence (disorder)	Adjustment reaction of adolescence	386822001
Adjustment reaction in infancy (disorder)	Adjustment reaction in infancy	386821008
Socialized behavior disorder (disorder)	Socialized behavior disorder	386820009
Phobic disorder (disorder)	Phobic disorder	386810004
Psychogenic syncope (disorder)	Psychogenic syncope	386572005
Psychogenic pylorospasm (disorder)	Psychogenic pylorospasm	386537007
Autistic spectrum disorder with isolated skills (disorder)	Autistic spectrum disorder with isolated skills	373618009
Panic disorder (disorder)	Panic disorder	371631005
Severe bipolar II disorder (disorder)	Severe bipolar II disorder	371604007
Severe bipolar disorder (disorder)	Severe bipolar disorder	371600003
Severe bipolar I disorder (disorder)	Severe bipolar I disorder	371599001
Bipolar I disorder (disorder)	Bipolar I disorder	371596008
Senile dementia with psychosis (disorder)	Senile dementia with psychosis	371026009
Senile dementia with delusion (disorder)	Senile dementia with delusion	371024007
Major depressive disorder (disorder)	Major depressive disorder	370143000
Delirium due to sedative withdrawal (disorder)	Delirium due to sedative withdrawal	361151007
Specific number difficulty (disorder)	Specific number difficulty	359661001
Cotard's syndrome (disorder)	Cotard's syndrome	357705009
Involutional depression (disorder)	Involutional depression	321717001
Major depression, melancholic type (disorder)	Major depression, melancholic type	320751009
Recurrent major depressive disorder with melancholic features (disorder)	Recurrent major depressive disorder with melancholic features	319768000
Posttraumatic stress disorder, delayed onset (disorder)	Posttraumatic stress disorder, delayed onset	318784009
Stockholm syndrome (disorder)	Stockholm syndrome	317816007
Organic mental disorder caused by hypnotic agent (disorder)	Organic mental disorder caused by hypnotic agent	313915006
Chronic post-traumatic stress disorder (disorder)	Chronic post-traumatic stress disorder	313182004
Senile dementia of the Lewy body type (disorder)	Senile dementia of the Lewy body type	312991009
Organic mental disorder caused by anxiolytic agent (disorder)	Anxiolytic-induced organic mental disorder	312936002
Severe depression (disorder)	Severe depression	310497006
Moderate depression (disorder)	Moderate depression	310496002
Mild depression (disorder)	Mild depression	310495003
Organic mental disorder caused by caffeine (disorder)	Organic mental disorder caused by caffeine	309279000
Cycloid psychosis (disorder)	Cycloid psychosis	307417003
